"ResponseId","bisbas_matrix_1","bisbas_matrix_2","bisbas_matrix_3","bisbas_matrix_4","bisbas_matrix_5","bisbas_matrix_6","bisbas_matrix_7","bisbas_matrix_8","bisbas_matrix_9","bisbas_matrix_10","bisbas_matrix_11","bisbas_matrix_12","bisbas_matrix_13","bisbas_matrix_14","bisbas_matrix_15","bisbas_matrix_16","bisbas_matrix_17","bisbas_matrix_18","bisbas_matrix_19","bisbas_matrix_20","bisbas_reward_res","bisbas_drive","bisbas_fun_seek","bisbas_bis"
"R_38XVirtBWEjoVTi",1,1,1,1,3,4,3,4,4,4,4,4,1,4,4,4,4,4,4,4,20,16,13,14
"R_67qEr703rxZJ9M8",3,3,3,3,2,3,1,1,1,3,2,2,3,3,1,4,4,4,4,3,19,7,9,18
"R_5e7vCy3nbA5HC9j",3,3,3,4,3,3,2,3,3,2,3,3,3,2,2,3,3,3,3,3,15,11,10,21
"R_6IydxRFiQ2G12Ol",2,1,1,2,1,2,2,2,2,2,2,3,3,3,1,2,3,3,3,2,13,8,10,11
"R_30I6tQ8sgkkVyLo",3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,3,3,3,4,3,16,12,11,19
"R_6LLp1ZRkT0DD6o1",3,3,3,3,1,3,1,3,3,4,3,3,3,3,3,3,4,4,3,3,17,13,12,17
"R_1G8GBeF6278PxJ8",3,3,3,3,3,4,1,4,4,4,4,3,1,1,1,3,3,3,1,3,13,16,6,20
"R_7cJjMQLtw3wmtMd",4,4,1,2,0,3,1,3,3,3,2,3,1,1,3,3,4,3,3,3,16,11,8,15
"R_5Q0AnuVkFwBDZ2h",1,2,3,3,2,3,1,2,2,2,2,3,2,3,1,3,3,3,4,3,16,8,9,15
"R_6sQGpmhlw3ksmnD",3,3,4,3,3,3,3,1,2,3,3,3,3,3,3,3,4,3,3,3,16,9,12,22
"R_3ic3WJgZ6aQnj8d",3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,4,4,3,3,17,12,12,19
"R_7etRBZ2jsvktJRB",1,1,2,2,0,1,0,1,1,3,2,2,1,2,1,3,3,3,3,3,15,7,6,7
"R_6kNhEuyMUlwpF9b",2,3,1,3,2,2,1,2,2,3,2,2,2,3,2,3,4,3,4,2,16,9,9,14
"R_3qArdP8OJgeCuhb",4,4,4,4,0,4,2,4,4,1,1,1,1,1,1,4,4,4,4,4,20,10,4,22
"R_7EavZVcL3A3ZkGa",2,3,3,3,2,3,2,2,2,2,2,3,2,2,2,3,3,3,2,2,13,8,9,18
"R_3yf4dJ3L9J2uFp0",2,3,3,3,2,3,1,4,4,4,3,4,4,4,4,3,3,4,4,4,18,15,16,17
"R_51LUqCwheDpdPHj",3,2,3,3,2,3,1,2,1,2,2,2,2,1,2,3,3,3,3,3,15,7,7,17
"R_6hpbXJoC2PPC6KR",3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,14,8,8,19
