ID,ResponseId,demo_zip_p,GEO_ID,NAME,TravTmCas,TravMiCas,TenMiCas,ADINat,ADIState,SVI_SES,Gini,poverty,unemployed,bachelors,tenure,homeowner,white_p,black_p,native_p,pacific_p,hispanic_p,other_p,white_n,black_n,native_n,pacific_n,hispanic_n,other_n,TenMiMHT,TravTmGDT,TravMiGDT,TenMiRel,TenMiRelC,ec_zip,clust_zip,s_ratio,volun_rate,civic_org,TotalCrime,ViolCrime
1008,R_3z7BUOjeTOxIvAJ,97755,-999,-999,-999,-999,-999,-999,-999,-999.0000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
207,R_5HnsvN5jscCb3zK,21276,-999,-999,-999,-999,-999,-999,-999,-999.0000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
921,R_5YTYvErYeB7OXAJ,92185,-999,-999,-999,-999,-999,-999,-999,-999.0000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
959,R_625ydHqllwQ449y,94199,-999,-999,-999,-999,-999,-999,-999,-999.0000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
311,R_6E5y9wklvMsvTvI,30383,-999,-999,-999,-999,-999,-999,-999,-999.0000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
388,R_6NaVxUE5LLOUlXQ,34629,-999,-999,-999,-999,-999,-999,-999,-999.0000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
605,R_7sMwTP3HEqmcbFT,59495,-999,-999,-999,-999,-999,-999,-999,-999.0000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
318,R_3MrOtETZMxyQ79T,31698,860Z200US31698,ZCTA5 31698,-999,-999,0,-999,-999,-999.0000,-999,0,12.70588235,0,0,0,57.3875803,36.83083512,0.107066381,0,0.214132762,0,536,344,1,0,2,0,4,6.139912423,2.419902601,40,27,-999,-999,-999,-999,-999,132,70
449,R_7UfpkuOufMXw6oV,40404,860Z200US40404,ZCTA5 40404,-999,-999,0,-999,-999,-999.0000,-999,0,11.41439206,57.14285714,0,0,71.18055556,16.31944444,0.347222222,0,8.680555556,0,615,141,3,0,75,0,1,23.11435861,14.85274692,1,1,-999,-999,-999,-999,-999,32,20
188,R_3zqKeoTgNEjbqaT,20059,860Z200US20059,ZCTA5 20059,28.41489778,10.59095806,5,-999,-999,-999.0000,-999,0,2.258064516,100,0,0,28.08783166,61.29917658,0,0,6.404391583,2.470265325,307,670,0,0,70,27,70,9.799153956,2.367585227,139,74,-999,-999,-999,-999,-999,62,91
643,R_61hFbc6r2FVxfhi,62601,860Z200US62601,ZCTA5 62601,14.27374308,10.89564846,0,82,8,0.0541,0.459,10.08902077,0,27,100,96.26865672,97.92284866,0,0,0,0,0,330,0,0,0,0,0,1,14.76050035,11.16658966,1,1,-999,-999,-999,-999,-999,25,24
411,R_5ikEQ9CFFY4yKnv,36793,860Z200US36793,ZCTA5 36793,-999,-999,0,83,6,0.1016,0.3548,4.613297151,0,12.14574899,100,84.89795918,79.00403769,17.22745626,0,0,0,0,587,128,0,0,0,0,0,-999,-999,2,2,-999,-999,-999,-999,-999,25,53
636,R_3aCtBWhSdvXdKIv,60951,860Z200US60951,ZCTA5 60951,24.47595498,19.10498945,0,84,8,0.1539,0.3971,9.836065574,2.110817942,13.17157712,100,83.03571429,93.85245902,1.229508197,0,0,2.732240437,2.732240437,687,9,0,0,20,20,1,14.52304086,10.56620293,2,1,-999,-999,-999,-999,-999,45,58
865,R_5Q0AnuVkFwBDZ2h,89044,860Z200US89044,ZCTA5 89044,1.991496196,0.385671921,39,23,2,0.1889,0.4338,6.939615412,3.432531594,51.05893186,89.25704526,82.89496157,59.89265158,3.965535506,0.490836541,0.695646033,14.86634415,3.552385324,16961,1123,139,197,4210,1006,8,13.48451734,6.135222214,73,43,-999,-999,-999,-999,-999,105,70
154,R_65HCxOsrOiKfAHO,16405,860Z200US16405,ZCTA5 16405,47.98624932,33.28025044,0,87,9,0.2485,0.3832,10.23339318,2.95202952,9.024390244,93.96551724,95.25862069,94.7935368,0,0,0,0,1.077199282,528,0,0,0,0,6,1,-999,-999,0,0,-999,-999,-999,-999,-999,15,22
235,R_6CIw46Y5DEhieYD,26230,860Z200US26230,ZCTA5 26230,-999,-999,0,96,9,0.3145,0.4734,45.26315789,0,0,100,87.14285714,100,0,0,0,0,0,95,0,0,0,0,0,0,-999,-999,0,0,-999,-999,-999,-999,-999,22,45
691,R_8tPLj3W5d5J65bj,71466,860Z200US71466,ZCTA5 71466,37.87875613,31.54092979,0,81,7,0.4757,0.3296,24.14860681,0,0,94.53551913,100,98.45201238,0,1.238390093,0,0,0,318,0,4,0,0,0,0,21.88052514,17.75919264,1,1,-999,-999,-999,-999,-999,39,41
452,R_5roJofK0pjcS6D4,41824,860Z200US41824,ZCTA5 41824,-999,-999,0,90,8,0.5173,0.4084,20.21116139,0,12.74131274,87.94788274,85.66775244,100,0,0,0,0.60331825,0,663,0,0,0,4,0,7,11.03950986,7.979446475,1,1,-999,-999,-999,-999,-999,38,46
823,R_5e4NnaSSq4hFvKT,84129,860Z200US84129,ZCTA5 84129,15.10436424,11.70955917,2,29,5,0.5669,0.3701,9.336077686,3.489134271,22.91220557,92.06570842,79.76180698,68.76049098,1.838543852,0.535039866,1.135648342,25.40914813,10.33885858,26217,701,204,433,9688,3942,131,5.796297012,2.378321848,79,63,-999,-999,-999,-999,-999,114,65
790,R_5Tdv92OtUPduJbP,79765,860Z200US79765,ZCTA5 79765,-999,-999,0,27,2,0.6808,0.4392,13.05341573,3.247001299,26.24322656,73.35052654,61.10036536,60.2984456,5.786528497,1.210362694,0.223834197,48.67150259,14.15129534,14547,1396,292,54,11742,3414,1,-999,-999,23,12,-999,-999,-999,-999,-999,122,107
1019,R_5Kdnbtdn92gv3g6,98207,860Z200US98201,ZCTA5 98201,12.49244905,7.098080174,5,29,7,0.7050,0.4718,16.3414552,4.671956419,29.20859628,87.31228481,46.86103582,74.19261822,2.159425862,1.243111624,2.242727156,12.43432013,4.767397155,23157,674,388,700,3881,1488,14,20.17723819,13.01135515,215,120,-999,-999,-999,-999,-999,248,141
864,R_5rdhhnq2msr4Z76,89011,860Z200US89011,ZCTA5 89011,8.742471417,2.964032007,52,24,3,0.7649,0.4638,8.120494048,6.621194477,37.21944192,86.60950339,68.16005716,58.58535227,8.755221387,0.565302144,0.027847396,24.17153996,11.46755778,21038,3144,203,10,8680,4118,29,10.98477248,4.326668276,165,82,-999,-999,-999,-999,-999,96,89
165,R_3HRRLg2KU5uPl6x,17976,860Z200US17976,ZCTA5 17976,52.36149808,43.94615044,0,100,10,0.9018,0.4114,27.45304546,10.96774194,13.89821751,91.82911655,73.82828702,70.15698063,2.321309285,0.46760187,0,33.81763527,15.38076152,4201,139,28,0,2025,921,4,9.9963119,4.446795774,31,20,-999,-999,-999,-999,-999,55,95
855,R_6dMjcWj3GWD8EzO,86442,860Z200US86442,ZCTA5 86442,15.09448167,8.407041425,11,58,8,0.9348,0.4581,22.02947047,11.83220609,13.87681022,88.00075467,67.55549965,76.16744836,2.452879657,0.911818685,0.04661054,22.40510385,6.904186209,26146,842,313,16,7691,2370,7,-999,-999,40,25,-999,-999,-999,-999,-999,132,79
858,R_5igRmYVFik4Dfbz,87121,860Z200US87121,ZCTA5 87121,8.296292932,3.518376408,5,75,6,0.9405,0.4107,21.82857444,4.833836858,12.98587155,92.7969288,76.36442791,34.45458725,2.42858081,4.447363236,0.18388389,81.55119196,25.12773363,26232,1849,3386,140,62089,19131,25,10.40671234,4.296509891,50,18,0.57697999,0.073629998,0.92154998,0.043269999,-0.00008,212,253
466,R_3P6ngmKtTH9RU1M,43917,860Z200US43917,ZCTA5 43917,28.17029849,17.66964166,1,96,9,0.2162,0.4448,11.23766135,3.45177665,20.79800499,97.02325581,89.39534884,99.28220627,0.41556479,0,0,1.775595013,0,2628,11,0,0,47,0,4,26.06253888,14.22304517,5,5,0.77515,0.119,0.97224998,0.097060002,-999,19,23
72,R_6TTP7rYj6gNjHKW,10081,860Z200US10005,ZCTA5 10005,19.96271936,5.636369785,4,3,1,0.0503,0.4415,4.589738039,4.699936829,84.25938567,76.90069822,17.06749418,67.69863607,4.384065815,0,0,10.12123836,4.687161723,6254,405,0,0,935,433,264,10.59200856,2.863851065,2586,1010,1.25535,0.08997,0.32111001,0.052540001,0.00006,294,189
74,R_137uU0cle84C0Eg,10286,860Z200US10005,ZCTA5 10005,21.70684502,6.182447523,4,3,1,0.0503,0.4415,4.589738039,4.699936829,84.25938567,76.90069822,17.06749418,67.69863607,4.384065815,0,0,10.12123836,4.687161723,6254,405,0,0,935,433,264,12.33613422,3.409928802,2591,1014,1.25535,0.08997,0.32111001,0.052540001,0.00006,294,189
79,R_124RlVWteOn5i0l,10472,860Z200US10472,ZCTA5 10472,25.27700091,16.34814945,3,13,4,0.9927,0.511,31.45405747,9.504002511,13.6225,93.19362187,15.69476082,6.980570354,27.20463804,1.215919774,0.079912253,61.77843936,47.45534315,4455,17362,776,51,39427,30286,255,11.52272215,2.842849293,1412,598,0.60272002,0.072839998,0.81146002,0.01895,0.00104,93,226
81,R_3Jg52uGh6mYxzJ7,10472,860Z200US10472,ZCTA5 10472,25.27700091,16.34814945,3,13,4,0.9927,0.511,31.45405747,9.504002511,13.6225,93.19362187,15.69476082,6.980570354,27.20463804,1.215919774,0.079912253,61.77843936,47.45534315,4455,17362,776,51,39427,30286,255,11.52272215,2.842849293,1412,598,0.60272002,0.072839998,0.81146002,0.01895,0.00104,93,226
80,R_7XiCVkmVutzQs1O,10472,860Z200US10472,ZCTA5 10472,25.27700091,16.34814945,3,13,4,0.9927,0.511,31.45405747,9.504002511,13.6225,93.19362187,15.69476082,6.980570354,27.20463804,1.215919774,0.079912253,61.77843936,47.45534315,4455,17362,776,51,39427,30286,255,11.52272215,2.842849293,1412,598,0.60272002,0.072839998,0.81146002,0.01895,0.00104,93,226
758,R_70BEUnP9rajbD9q,77318,860Z200US77318,ZCTA5 77318,41.59568113,41.00311153,0,44,3,0.4579,0.4199,7.462912504,3.703703704,29.87708577,90.74294795,81.69778837,79.08678103,3.329969728,0.216952573,0.025227043,17.08879919,2.088799193,15675,660,43,5,3387,414,0,14.99133269,8.57591633,12,6,0.91679001,0.081869997,0.88486999,0.078829996,0.00105,63,54
688,R_1jNjo5BcokYvGAN,70820,860Z200US70820,ZCTA5 70820,8.006898041,3.774477944,15,54,3,0.8432,0.5461,35.94319009,4.213620774,54.25927895,72.1493441,30.73214486,57.18176542,21.38679287,1.750234406,0,12.5373934,7.652810644,12807,4790,392,0,2808,1714,17,8.576120211,3.590241165,45,29,0.77737999,0.10032,0.81300002,0.040989999,0.00126,185,153
753,R_7i5kRVat6jVWK6Q,77063,860Z200US77063,ZCTA5 77063,11.87159237,3.983417002,3,43,3,0.9441,0.5364,18.68728782,9.23254472,48.42209409,81.73019357,23.553183,38.35075261,21.43321498,0.797619643,0.095014252,33.10746612,8.488773316,15338,8572,319,38,13241,3395,35,14.31354246,7.832407492,637,304,0.66043001,0.077160001,0.65689999,0.038120002,0.00138,211,246
653,R_7IQPqmlATzALGUO,64157,860Z200US64157,ZCTA5 64157,19.30822264,13.73582745,2,23,1,0.0735,0.4126,1.285714286,2.638006839,51.81404332,92.49372274,91.27791727,82.59396317,2.920326363,0.107004325,0,4.841945695,1.79232244,18525,655,24,0,1086,402,5,9.276601915,4.130416065,55,36,1.09086,0.087250002,0.89438999,0.086269997,0.00138,143,178
868,R_7uDQOrG28WLjm4m,89084,860Z200US89084,ZCTA5 89084,4.315702724,1.124251138,72,18,2,0.5882,0.4009,7.039051717,5.36773599,28.92028749,85.96098497,72.6095299,41.00601127,20.62700488,0.692778392,0.415127908,24.41437313,6.547699275,15212,7652,257,154,9057,2429,31,9.965386114,5.416852461,231,109,0.90108001,0.07429,0.68826002,0.05483,0.00139,117,164
1012,R_7F4Kd95yZmIuur2,98034,860Z200US98034,ZCTA5 98034,9.905936781,3.049636492,5,8,2,0.3344,0.4509,5.885092264,5.083816892,57.60920743,85.53367486,60.59594868,66.8705147,1.541399799,0.549810942,0.189057798,9.080561772,3.505285902,34663,799,285,98,4707,1817,51,15.95519952,8.738601234,143,96,1.30885,0.088299997,0.78790998,0.071290001,0.00142,88,27
