"ResponseId","mandf_onlineg","mandf_casinog","mandf_cann","mandf_drinks_m","mandf_drinks_f","mandf_drinks_o"
"R_38XVirtBWEjoVTi",0,0,0,NA,0,NA
"R_67qEr703rxZJ9M8",0,0,0,NA,24,NA
"R_5e7vCy3nbA5HC9j",0,0,20,NA,10,NA
"R_6IydxRFiQ2G12Ol",0,0,0,0,NA,NA
"R_30I6tQ8sgkkVyLo",0,1,0,0,NA,NA
"R_6LLp1ZRkT0DD6o1",5,2,0,5,NA,NA
"R_1G8GBeF6278PxJ8",0,0,0,NA,0,NA
"R_7cJjMQLtw3wmtMd",0,0,30,NA,5,NA
"R_5Q0AnuVkFwBDZ2h",0,0,0,NA,0,NA
"R_6sQGpmhlw3ksmnD",0,0,2,NA,0,NA
"R_3ic3WJgZ6aQnj8d",0,0,0,NA,1,NA
"R_7etRBZ2jsvktJRB",0,0,0,NA,0,NA
"R_6kNhEuyMUlwpF9b",0,0,0,2,NA,NA
"R_3qArdP8OJgeCuhb",0,0,30,NA,0,NA
"R_7EavZVcL3A3ZkGa",0,0,0,0,NA,NA
"R_3yf4dJ3L9J2uFp0",0,0,30,NA,10,NA
"R_51LUqCwheDpdPHj",0,0,30,NA,0,NA
"R_6hpbXJoC2PPC6KR",0,0,0,NA,0,NA
"R_6oAnB09QwpjNbya",0,0,0,0,NA,NA
"R_5rfrQri9pkYyncF",0,0,0,NA,0,NA
"R_6amXYdjgporasOg",0,0,0,NA,0,NA
"R_6hGzBQPOAyIbY6Q",0,0,1,0,NA,NA
"R_1BwztGYBq2PShpd",0,0,0,0,NA,NA
"R_3M5PrJrxz2KW1H8",0,0,28,NA,0,NA
"R_7uDsikm425tlZQb",0,0,0,NA,18,NA
"R_3kS0hUeA2lXUQeU",0,0,0,NA,0,NA
"R_1ffMPw9Rzu6wsur",15,0,2,NA,0,NA
"R_5Kp4Q0WtzeXR8HW",0,1,0,NA,0,NA
"R_6vdFh4IkYfL2I7L",0,0,0,0,NA,NA
"R_3qju1UW3VVD07L3",0,0,0,NA,0,NA
"R_32R1XDSNyTGYVAl",0,0,0,NA,0,NA
"R_17o9bGXX1rzmFRT",0,0,0,NA,0,NA
"R_3EhdoD79VmV1t9i",0,0,0,23,NA,NA
"R_6fksUNreH0F98ia",0,0,0,NA,8,NA
"R_1313um8ltp5qBYF",0,0,0,NA,0,NA
"R_6dMjcWj3GWD8EzO",0,4,0,NA,6,NA
"R_3h0zobr1r6pB7QZ",0,0,0,0,NA,NA
"R_35i5cyfDisIibzX",0,0,30,NA,0,NA
"R_3Eye5Xgk4iKLSaB",0,0,0,NA,0,NA
"R_5dMAqVdv1f99630",0,0,0,NA,0,NA
"R_1NRWwynls6gcJuV",0,0,0,2,NA,NA
"R_6JxCAWCw1IXgOjz",0,0,0,NA,0,NA
"R_7JGl8z4ucGPe4Bb",0,0,0,NA,0,NA
"R_6LNZZghzTUIlyFI",0,0,0,NA,18,NA
"R_5U6UiKL17Q36uhX",0,0,0,0,NA,NA
"R_3ISquNyz1s1qspR",0,0,10,4,NA,NA
"R_7g1MtgrksD2Vb4j",0,0,0,NA,5,NA
"R_32nTc41frgcVM61",0,0,0,NA,0,NA
"R_3q2xC423oLHuOLB",0,0,0,NA,0,NA
"R_78ICdKcMczkIj2l",0,0,0,NA,0,NA
"R_6K8zf1Le39U5UCv",0,2,0,NA,12,NA
"R_12KupiIBwBAiAlT",0,0,0,0,NA,NA
"R_7itB7zhRgpKX78t",0,0,0,NA,0,NA
"R_7aryV0zJJHMF7D1",0,0,20,20,NA,NA
"R_1axWcYgeIg0SLXn",0,0,0,NA,0,NA
"R_7NS6K0ckKzR33xL",0,0,0,NA,0,NA
"R_3ab2B3gcURS6JBa",0,0,0,NA,0,NA
"R_3e7h3H9CmPZFAm5",1,1,0,0,NA,NA
"R_36RZgx00aPw0jBL",0,0,0,0,NA,NA
"R_5I6mQYvdnxvmCHL",0,0,0,NA,0,NA
"R_138L3WxYejGK0Kt",0,0,0,NA,0,NA
"R_7YG545zyuAwH2pz",0,0,0,NA,0,NA
"R_5zSejDVfxYjUQrF",0,0,0,NA,0,NA
"R_50leIBHtgptrTbI",1,1,4,2,NA,NA
"R_5lACVPPM014Wmwd",0,0,0,NA,0,NA
"R_3GnrbByp0pONqKd",0,0,0,NA,0,NA
"R_64jC50kf2fwXiOA",0,0,0,NA,0,NA
"R_6wjeDONWdHCNJ0q",0,0,0,NA,0,NA
"R_3fk0NLdiIxzKrcD",0,0,0,NA,8,NA
"R_3NeikfJMuZEEHQJ",5,4,15,NA,15,NA
"R_5ClKVwFWaPfnpqH",2,0,2,NA,2,NA
"R_7471xG7AkXS7wBv",0,3,0,10,NA,NA
"R_7JJdmquPgws7SFI",0,0,0,0,NA,NA
"R_5Bqu98WSa3SSJW1",0,0,0,NA,0,NA
"R_531awRduDvVkAjg",0,0,0,0,NA,NA
"R_3I6PL2Bnd5m6YEX",0,1,0,NA,1,NA
"R_6SicG1vZUCP2r9B",0,0,0,NA,0,NA
"R_7QKtauf23FclmZj",0,0,0,NA,10,NA
"R_6TZYbwLG4nocXUB",0,0,0,0,NA,NA
"R_1g1vgz3QFgAhwQQ",0,0,0,NA,0,NA
"R_11Xp6WTjpIMr4S5",0,0,0,NA,10,NA
"R_1PaFNv9vDENJGNE",0,2,0,1,NA,NA
"R_6T1wQD1rmx6N3QR",0,0,0,NA,0,NA
"R_5qfOcAw70W5DkiD",0,0,0,0,NA,NA
"R_5uU0dvwVvNPHJte",0,0,15,NA,0,NA
"R_3sFBnxQPk46qH9D",0,0,0,NA,3,NA
"R_6CHWDVch8w52adB",0,0,0,0,NA,NA
"R_1xUhPp3zey4FFG9",0,0,0,NA,0,NA
"R_5rYdDWufu9FV5mQ",0,0,0,NA,1,NA
"R_7hDBH7TkCn3yCFe",0,3,12,0,NA,NA
"R_7qDzfEBhnDwkUJ8",0,0,1,NA,0,NA
"R_1eb1NSTKnLSHOX0",0,0,0,NA,0,NA
"R_3VDu1BK5ATfisr8",0,4,0,NA,0,NA
"R_5dEluXxdZDk3643",0,0,0,10,NA,NA
"R_5pJspTFI2ecHa13",0,3,0,NA,0,NA
"R_5jq8Mn5ZFB4D9Ch",0,0,0,NA,0,NA
"R_7TcDCk78NjtuyhH",0,0,30,0,NA,NA
"R_7y2UeJqv33Elk96",0,0,10,28,NA,NA
"R_7ukudufgKJgWcOR",0,0,25,NA,0,NA
"R_1K8No2eE39sJWrD",15,0,0,NA,0,NA
"R_1DCD2E8uJt0KgNn",0,0,0,NA,0,NA
"R_7gT8lbNyAzSepeV",0,0,0,0,NA,NA
"R_1IbzQcUIZ4M9Lqh",0,0,0,20,NA,NA
"R_6Mm1oqYQmmdp9lp",0,0,0,NA,0,NA
"R_7smWVJpQ51w4vBv",0,0,0,0,NA,NA
"R_3Eh3FTlsiu0yIEj",0,0,0,NA,0,NA
"R_11Ql7h4eSbog1D9",0,0,4,NA,8,NA
"R_5O1djSg5wX2ZTeE",0,0,0,NA,0,NA
"R_3VD59h7RqZYqask",0,0,0,0,NA,NA
"R_6kcwU8P0KpikFoh",0,0,0,NA,5,NA
"R_3WVHRGB2jzC0S41",0,0,10,NA,20,NA
"R_5mPnRERrrGDSR6Y",20,2,0,NA,0,NA
"R_6NQdgYBqdshoh00",0,0,1,NA,1,NA
"R_6IUJwxm2U67iepH",0,1,2,NA,0,NA
"R_7AYo58CkpJRMdkl",4,1,0,3,NA,NA
"R_7nT3PFAEZrviE1d",5,0,0,NA,10,NA
"R_7pJpOnRfelnL3Zq",0,3,0,NA,1,NA
"R_1Cdbc0YPaonCUCZ",0,0,0,NA,0,NA
"R_6e8YopyHShDxzxE",0,0,0,NA,2,NA
"R_10xdJGGJABI6P2o",0,0,0,NA,0,NA
"R_710bC1IOA9cqUpH",0,0,5,NA,0,NA
"R_7qffoiWVZNLKuLx",0,0,0,NA,0,NA
"R_5ixPTr0uHqI2Sfu",0,0,0,NA,0,NA
"R_31db3e0KcsC3Hqp",0,0,0,0,NA,NA
"R_6OV5OalPygdHNAu",0,0,0,0,NA,NA
"R_3q2t6FfZEe7xoEZ",0,1,0,NA,0,NA
"R_5IxYYDGpPqOWuKu",0,2,0,NA,0,NA
"R_3QnqrkQsT6m8gGz",0,0,0,NA,2,NA
"R_5z1vGEvvn03lT3P",0,0,10,NA,2,NA
"R_6aDiWbvge35ZuzB",0,0,0,NA,0,NA
"R_3pS4UGNjUGhIFZT",0,0,0,NA,8,NA
"R_3qby870JiO6FspX",0,0,0,NA,0,NA
"R_5oYBS1C3GhrvWvN",0,0,0,NA,1,NA
"R_6f0NGQOyPoOxR0c",6,2,0,0,NA,NA
"R_6ULGxCjM2NBYE0x",0,0,0,NA,15,NA
"R_5GlYha5NaGXhs5W",0,8,30,0,NA,NA
"R_1QjwkebCB0V213j",0,0,0,NA,0,NA
"R_3NTWG9v4ZGTgOBH",0,0,0,NA,4,NA
"R_3GNzZGNnPumekPh",0,0,0,NA,0,NA
"R_5j6GBjhiORYOZA4",0,0,0,NA,2,NA
"R_6wS5TpPLUH8BNq9",0,0,0,NA,0,NA
"R_3zYN7dYYBAK9u0O",0,0,0,NA,0,NA
"R_5lyPBW3iNpEU5fW",0,0,0,NA,15,NA
"R_7asIJEEywE2iQFv",0,0,0,0,NA,NA
"R_7CZgMiBp1j6jcKl",0,0,0,NA,0,NA
"R_5OGZ4I0FqSj0zPX",0,0,0,NA,0,NA
"R_6oMjaAPnBnKkvpL",0,0,0,NA,1,NA
"R_7KiUtrBbZioGZ7X",0,0,0,NA,0,NA
"R_6huzMhFw2Poayvj",0,0,0,NA,0,NA
"R_7VPdEPFK8NVC5lR",0,0,0,NA,3,NA
"R_7j96P5KGC0KLL0s",0,0,0,0,NA,NA
"R_5EnIuaVKtrA7PJK",0,0,0,0,NA,NA
"R_7fa81plYMJGXUzf",0,1,0,NA,0,NA
"R_5MsZxvWgd71QNoJ",0,0,0,NA,0,NA
"R_3ruVXKXkCjALiuy",0,0,0,NA,20,NA
"R_3tEZf9k4YY8YABi",0,1,0,NA,2,NA
"R_323UDLYL1w6aEOr",0,0,0,0,NA,NA
"R_7QVTSE8Pzkp36lH",0,0,0,NA,0,NA
"R_7XtEGFXxOJgoM93",0,0,0,0,NA,NA
"R_1SwA1RGEhCLJZrF",0,0,0,NA,0,NA
"R_7ebuDuMKUIL9zyi",0,0,0,0,NA,NA
"R_5wWzfbWu0jq8Fc5",0,0,0,NA,5,NA
"R_50Ptqz8nPx7YHQD",0,0,0,NA,5,NA
"R_3uODD2pdNI8jXXP",0,0,0,NA,15,NA
"R_7uDQOrG28WLjm4m",0,5,15,NA,3,NA
"R_5R4LrQ8jXinBsMV",0,0,0,0,NA,NA
"R_5gFuI6Zdce2HOMq",20,0,0,15,NA,NA
"R_6NFhU0bXejXyu3v",0,0,0,NA,0,NA
"R_5dv8MJ9XT2tsOk6",0,0,0,NA,3,NA
"R_7MDxBq8mtH5I2a8",0,0,0,NA,3,NA
"R_1OXquApJXnrC9Hz",5,5,5,5,NA,NA
"R_59BGTvIulbj5Ok9",21,0,0,NA,1,NA
"R_3HSylAQObjq7nOk",0,0,30,6,NA,NA
"R_5ikEQ9CFFY4yKnv",4,0,0,NA,3,NA
"R_5cpAUcYiSFu8pFr",1,0,8,2,NA,NA
"R_5FncB44tYK8cz8R",0,0,0,NA,0,NA
"R_5IQCuxi5CkbT8HN",2,2,2,NA,2,NA
"R_1kFgIarWRGRiNHk",0,0,10,NA,1,NA
"R_1jNjo5BcokYvGAN",3,3,0,NA,2,NA
"R_7EmnTpRv4SVEkHD",0,0,0,NA,0,NA
"R_6lJ7CPijxHhmHlf",0,0,0,NA,0,NA
"R_6g7n6d7zHUwIoMX",5,4,0,9,NA,NA
"R_5RMLoJsyr6kr6gN",0,0,0,0,NA,NA
"R_3o8c5VkhDvyoBfB",0,0,0,NA,0,NA
"R_1Gg0qg71vPhfaav",0,0,20,NA,0,NA
"R_1YAfOl1rXVFwEkk",0,0,30,NA,3,NA
"R_5foOmJLH4T2YLv5",2,0,3,NA,0,NA
"R_1P6qnB3I6C4Vb09",0,0,0,NA,0,NA
"R_66jPZqvTxJhlvLH",3,0,0,5,NA,NA
"R_516BC81lOL3M6Qh",0,0,7,NA,2,NA
"R_7gZSKxivcLjxOJr",1,1,1,1,NA,NA
"R_59zetEikIlYTIad",0,0,0,NA,0,NA
"R_6eqJTSW3zwu7ANE",2,0,0,0,NA,NA
"R_5hxswS2xy8GQ8qP",3,6,10,NA,5,NA
"R_6gSi5HhPt3oAxfR",0,0,0,0,NA,NA
"R_3cwq0wtPh8hsz81",3,2,4,NA,5,NA
"R_57aHAd10ZZNuNxf",0,0,0,NA,0,NA
"R_3fnMhk29KXeSNNv",15,10,30,NA,2,NA
"R_1Mp5i366LBfPz2h",5,5,5,NA,5,NA
"R_6VgwOqGHVJ9OhaG",2,5,3,NA,5,NA
"R_6sYM7BVH8NIIYyL",0,0,0,NA,0,NA
"R_68VdwXabFtrchAB",3,0,30,NA,2,NA
"R_5tr3EtXA4JtjBK4",2,0,0,0,NA,NA
"R_7cc70RHrlvPR3zA",0,0,0,NA,0,NA
"R_3hywElMMNFsJMYp",0,0,0,NA,2,NA
"R_5YcZ2KLBmTsu8z7",0,0,16,2,NA,NA
"R_3taQqJWDTVGH5FD",0,0,0,NA,0,NA
"R_5sF3tdUQgMMs3mh",10,10,10,NA,15,NA
"R_1VQqjr1jMDX4D0t",0,0,0,0,NA,NA
"R_3ASdQREkJCScnFU",0,0,0,0,NA,NA
"R_3ssZNEMQJjTRgrv",0,1,0,NA,0,NA
"R_1CI5WjcD32clL84",0,0,0,NA,0,NA
"R_7N8sYhBOoS80djp",0,0,0,0,NA,NA
"R_70eQ3TMoJEkaFpw",5,3,2,NA,1,NA
"R_1R7tP2droQgUfmO",0,0,0,NA,0,NA
"R_6V2YSWkZewg4Mbr",0,0,0,NA,1,NA
"R_3KjX0VUXmGoF42r",0,0,0,NA,4,NA
"R_6CVBhsrOfyzPwP8",3,0,0,2,NA,NA
"R_7HGkxVvQiH22rAZ",0,0,0,NA,0,NA
"R_5QuOL3HQafCkeba",0,0,10,NA,0,NA
"R_1RwxoXtULUMrphD",0,0,0,NA,0,NA
"R_6YVUnYdOJJIImnE",0,0,0,NA,0,NA
"R_1njHekJDMtWTrP3",1,0,2,0,NA,NA
"R_5gj9wbDcXgY6vUy",0,0,0,0,NA,NA
"R_65YeVxqNrqJAdSa",3,6,4,5,NA,NA
"R_70f3kJjYxEPcEfj",7,1,3,1,NA,NA
"R_6oI4XXTv6BYJ68W",19,8,0,NA,10,NA
"R_6MnFF7Nk4n9fxor",4,0,20,NA,2,NA
"R_5zIpozcCK0Em7Pj",20,0,30,5,NA,NA
"R_72JGymiY2HhXLge",0,0,2,4,NA,NA
"R_5LveHzx1fgprU5K",0,0,0,4,NA,NA
"R_7vNtg3jwCYkxeFP",0,0,0,NA,0,NA
"R_54ICgWblx5Ukwyt",2,0,0,NA,3,NA
"R_3OqJNGKsvNTZs9Y",0,0,0,NA,4,NA
"R_7ez7MriTXjejJC2",6,0,20,NA,0,NA
"R_12X5wmxWTc8qh3Z",10,1,0,2,NA,NA
"R_58I4Q6hfuzXQFOx",23,8,7,NA,7,NA
"R_1yrHLXxiXfBpYWJ",0,0,30,NA,0,NA
"R_7OPVx66hHwwPYOs",0,0,30,2,NA,NA
"R_7XiCVkmVutzQs1O",20,5,10,7,NA,NA
"R_7prIEyfgxpjQhvr",0,0,3,NA,5,NA
"R_10wUwpQmoXdvyO7",0,0,0,NA,15,NA
"R_6rkXrCLgJVt3dDj",16,5,10,20,NA,NA
"R_3BA91EDJt5yeJqO",0,0,0,NA,4,NA
"R_37HTjiEy7eyRlhw",0,0,30,NA,0,NA
"R_1FLkMO3vfrw1uMy",0,0,0,NA,10,NA
"R_5C8ynOQuZHN74qM",20,10,20,10,NA,NA
"R_1IwmMjhBLuoyiCB",0,0,0,NA,0,NA
"R_3eRg4N5LM6CcG2m",0,0,0,NA,1,NA
"R_3A0fWLi30ZPDSVj",4,3,0,NA,2,NA
"R_7oQPi2nKfOL50KB",0,0,0,7,NA,NA
"R_1jiCSCifVR3LAdW",0,0,0,0,NA,NA
"R_5FJlyc0MyLnL958",0,0,20,0,NA,NA
"R_7aIYFnFjpt0UAvv",2,1,1,3,NA,NA
"R_5h0gUw9g6wRMdEg",0,0,0,NA,1,NA
"R_6pBg2X782vUmMdX",0,0,30,NA,0,NA
"R_3gtgjYgYKrJi389",0,0,0,2,NA,NA
"R_1n8GzjSOT8GaTQd",2,3,4,NA,3,NA
"R_1OHG95IozQ4AcJr",8,8,9,4,NA,NA
"R_7usJiKjcEwzZD7h",4,1,6,NA,15,NA
"R_3KljfxutjygJ3AR",17,13,30,NA,21,NA
"R_1pHdMVd3hcQrGy5",0,0,0,NA,0,NA
"R_7QtEnEFa3wAx3zj",0,0,0,NA,0,NA
"R_6DHqxnMKvrVBXwt",0,1,30,2,NA,NA
"R_5ePuhcORGYi2UIb",0,0,0,NA,0,NA
"R_59aWMbuIYpL4Fe0",0,0,0,NA,2,NA
"R_1rxI0dJppoKlOQV",0,0,5,0,NA,NA
"R_1wzYgUpy8FENH76",0,0,2,NA,15,NA
"R_6Sg0CtULnaAoFH3",0,0,3,NA,1,NA
"R_3TIykVe1REHdYQ1",10,0,0,NA,2,NA
"R_7sMwTP3HEqmcbFT",0,0,0,NA,10,NA
"R_5PZqLMxUWGMxcIY",0,0,0,NA,2,NA
"R_5Rr4JPCkcwI0r8n",0,0,0,NA,20,NA
"R_7MlzTKkdXR9Aklr",22,5,2,19,NA,NA
"R_6cUpbnrwRnxakjh",0,0,1,NA,0,NA
"R_7YM6Rf2fdp8KueI",0,0,0,NA,18,NA
"R_5eL8vtV1yB7vh1T",0,0,0,NA,0,NA
"R_5rjShz1zc8hZVYE",2,1,2,NA,1,NA
