"ResponseId","spsrq_matrix_1","spsrq_matrix_2","spsrq_matrix_3","spsrq_matrix_4","spsrq_matrix_5","spsrq_matrix_6","spsrq_matrix_7","spsrq_matrix_8","spsrq_matrix_9","spsrq_matrix_10","spsrq_matrix_11","spsrq_matrix_12","spsrq_matrix_13","spsrq_matrix_14","spsrq_matrix_15","spsrq_matrix_16","spsrq_matrix_17","spsrq_matrix_18","spsrq_matrix_19","spsrq_matrix_20","spsrq_sr","spsrq_sp"
"R_38XVirtBWEjoVTi",1,1,1,5,1,1,1,1,3,5,5,5,1,3,1,5,5,5,5,1,32,24
"R_67qEr703rxZJ9M8",2,2,4,4,1,1,1,1,1,5,1,2,1,1,1,1,1,1,1,1,19,14
"R_5e7vCy3nbA5HC9j",4,1,2,2,5,2,4,2,4,2,4,2,2,2,2,2,2,2,4,2,19,33
"R_6IydxRFiQ2G12Ol",3,1,3,1,4,1,3,1,2,1,1,2,3,2,1,1,1,1,1,1,12,22
"R_30I6tQ8sgkkVyLo",3,2,1,3,4,3,3,2,1,4,2,5,2,3,2,4,3,1,2,3,30,23
"R_6LLp1ZRkT0DD6o1",4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,37,40
"R_1G8GBeF6278PxJ8",4,1,1,4,5,1,1,1,4,4,1,1,1,1,1,4,1,1,4,1,19,23
"R_7cJjMQLtw3wmtMd",4,1,1,3,4,1,5,5,5,5,5,5,5,5,5,1,5,1,5,1,28,44
"R_5Q0AnuVkFwBDZ2h",4,1,3,1,1,4,3,3,4,3,1,3,2,3,4,5,4,5,2,3,31,28
"R_6sQGpmhlw3ksmnD",5,1,4,3,5,2,2,1,4,3,5,1,3,2,5,2,4,1,4,2,18,41
"R_3ic3WJgZ6aQnj8d",3,3,4,2,4,1,1,1,4,4,1,4,3,2,1,1,2,1,2,2,21,25
"R_7etRBZ2jsvktJRB",2,1,1,3,4,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,14,16
"R_6kNhEuyMUlwpF9b",4,1,4,3,4,3,3,1,1,3,4,2,2,3,2,1,3,2,3,3,22,30
"R_3qArdP8OJgeCuhb",5,1,5,1,5,1,5,1,1,4,5,1,5,1,1,1,1,5,5,1,17,38
"R_7EavZVcL3A3ZkGa",2,1,3,1,5,1,5,1,4,3,3,3,2,2,4,1,5,3,4,1,17,37
"R_3yf4dJ3L9J2uFp0",4,3,2,1,4,3,3,3,3,2,3,3,1,2,1,2,2,1,3,3,23,26
"R_51LUqCwheDpdPHj",3,2,2,4,2,1,1,2,3,4,3,2,1,1,3,2,1,1,1,1,20,20
"R_6hpbXJoC2PPC6KR",3,1,4,2,4,2,4,2,3,2,4,2,2,2,4,2,4,2,4,2,19,36
"R_6oAnB09QwpjNbya",4,1,3,2,5,1,3,1,4,3,4,1,3,3,4,2,3,1,4,2,17,37
"R_5rfrQri9pkYyncF",5,1,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,28,32
"R_6amXYdjgporasOg",4,2,2,2,4,2,4,2,2,2,4,2,2,2,4,2,2,2,2,2,20,30
"R_6hGzBQPOAyIbY6Q",3,1,2,3,2,2,2,2,1,3,3,4,1,2,1,3,1,2,1,1,23,17
"R_1BwztGYBq2PShpd",4,2,1,3,2,1,1,1,4,3,2,4,1,3,1,3,1,3,2,1,24,19
"R_3M5PrJrxz2KW1H8",2,2,2,2,4,2,3,3,2,3,3,3,2,3,4,2,2,2,2,3,25,26
"R_7uDsikm425tlZQb",5,1,4,1,4,1,4,1,4,2,5,1,3,1,2,1,2,1,4,1,11,37
"R_3kS0hUeA2lXUQeU",2,1,1,1,4,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,18,14
"R_1ffMPw9Rzu6wsur",3,2,2,1,4,1,4,1,3,3,4,3,2,1,2,3,3,1,3,1,17,30
"R_5Kp4Q0WtzeXR8HW",4,2,4,2,4,3,4,2,4,2,4,3,4,2,4,2,3,2,2,2,22,37
"R_6vdFh4IkYfL2I7L",1,3,1,3,3,3,2,3,1,3,3,3,1,1,1,1,1,1,1,3,24,15
"R_3qju1UW3VVD07L3",5,1,5,1,5,1,3,3,5,3,5,1,5,1,1,1,3,1,5,1,14,42
"R_32R1XDSNyTGYVAl",3,1,4,2,4,2,2,4,4,4,3,4,4,2,2,2,2,2,1,1,24,29
"R_17o9bGXX1rzmFRT",3,2,3,3,4,1,4,4,3,3,3,2,3,2,1,1,2,3,3,2,23,29
"R_3EhdoD79VmV1t9i",4,1,2,3,2,3,2,2,2,2,2,4,3,2,2,3,2,2,2,2,24,23
"R_6fksUNreH0F98ia",3,3,2,3,2,1,1,1,4,3,3,2,3,3,3,1,2,3,1,1,21,24
"R_1313um8ltp5qBYF",2,1,4,4,4,3,1,4,3,4,3,4,2,2,3,2,3,4,2,3,31,27
"R_6dMjcWj3GWD8EzO",1,2,2,3,1,1,1,1,1,4,2,2,2,4,1,2,1,3,1,1,23,13
"R_3h0zobr1r6pB7QZ",1,1,4,2,5,1,2,1,2,3,5,3,3,2,1,2,3,1,5,1,17,31
"R_35i5cyfDisIibzX",4,1,4,1,5,2,4,1,4,1,5,1,4,1,1,1,4,1,4,1,11,39
"R_3Eye5Xgk4iKLSaB",2,1,2,3,4,1,2,1,2,2,2,1,2,1,1,1,1,1,2,1,13,20
"R_5dMAqVdv1f99630",1,1,1,2,3,1,1,1,2,3,1,1,1,2,1,1,1,1,1,1,14,13
"R_1NRWwynls6gcJuV",4,1,3,2,5,2,3,2,2,3,2,3,3,2,1,2,4,2,2,2,21,29
"R_6JxCAWCw1IXgOjz",4,1,1,2,5,1,1,1,3,2,3,4,2,2,1,2,2,2,2,2,19,24
"R_7JGl8z4ucGPe4Bb",2,3,2,3,2,1,2,1,3,3,3,2,4,2,1,1,1,3,3,1,20,23
"R_6LNZZghzTUIlyFI",4,1,2,4,2,2,3,2,4,3,4,2,1,2,1,1,2,4,2,2,23,25
"R_5U6UiKL17Q36uhX",1,1,1,1,1,2,3,1,1,3,2,2,1,3,1,2,1,1,1,1,17,13
"R_3ISquNyz1s1qspR",2,3,2,3,3,3,3,1,2,3,1,5,1,1,1,1,1,2,2,1,23,18
"R_7g1MtgrksD2Vb4j",4,1,1,1,4,2,3,3,3,4,2,1,4,3,2,1,4,1,4,1,18,31
"R_32nTc41frgcVM61",3,1,1,1,5,1,3,3,3,3,3,1,3,1,1,1,1,1,1,1,14,24
"R_3q2xC423oLHuOLB",3,3,1,4,3,3,3,2,1,2,1,2,1,3,3,1,3,1,1,1,22,20
"R_78ICdKcMczkIj2l",4,1,3,3,4,1,2,3,2,4,4,3,2,2,1,2,2,1,1,1,21,25
"R_6K8zf1Le39U5UCv",5,1,1,1,4,1,1,1,1,3,1,4,1,1,1,1,1,1,2,1,15,18
"R_12KupiIBwBAiAlT",5,3,2,3,4,3,4,3,3,4,4,2,3,5,1,3,3,2,3,2,30,32
"R_7itB7zhRgpKX78t",2,1,2,4,4,1,3,2,3,3,4,4,2,2,2,2,2,2,4,2,23,28
"R_7aryV0zJJHMF7D1",3,2,2,3,2,1,2,1,2,3,3,2,1,1,1,1,2,2,3,1,17,21
"R_1axWcYgeIg0SLXn",5,1,5,5,1,1,1,1,1,5,5,5,1,1,1,1,1,5,1,1,26,22
